"GPCRs
(UniProt)","GPCRs
(Gene name)",Receptor family,Ligand type,Class
GPR27,GPR27,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR3,GPR3,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR31,GPR31,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR32,GPR32,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR33,GPR33,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR34,GPR34,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR35,GPR35,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR37,GPR37,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR39,GPR39,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR4,GPR4,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR42,GPR42,Free fatty acid receptors,Lipid receptors,Class A (Rhodopsin)
GPR45,GPR45,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR52,GPR52,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR55,GPR55,"GPR18, GPR55 and GPR119",Lipid receptors,Class A (Rhodopsin)
GPR6,GPR6,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR61,GPR61,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR62,GPR62,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR63,GPR63,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR75,GPR75,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR78,GPR78,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR82,GPR82,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR83,GPR83,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR84,GPR84,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR85,GPR85,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR87,GPR87,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GPR88,GPR88,Class A orphans,Orphan receptors,Class A (Rhodopsin)
GRPR,GRPR,Bombesin receptors,Peptide receptors,Class A (Rhodopsin)
HCAR1,HCAR1,Hydroxycarboxylic acid receptors,Alicarboxylic acid receptors,Class A (Rhodopsin)
HCAR2,HCAR2,Hydroxycarboxylic acid receptors,Alicarboxylic acid receptors,Class A (Rhodopsin)
HCAR3,HCAR3,Hydroxycarboxylic acid receptors,Alicarboxylic acid receptors,Class A (Rhodopsin)
HRH1,HRH1,Histamine receptors,Aminergic receptors,Class A (Rhodopsin)
HRH2,HRH2,Histamine receptors,Aminergic receptors,Class A (Rhodopsin)
HRH3,HRH3,Histamine receptors,Aminergic receptors,Class A (Rhodopsin)
HRH4,HRH4,Histamine receptors,Aminergic receptors,Class A (Rhodopsin)
KISSR,KISS1R,Kisspeptin receptors,Peptide receptors,Class A (Rhodopsin)
LGR4,LGR4,Class A orphans,Orphan receptors,Class A (Rhodopsin)
LGR5,LGR5,Class A orphans,Orphan receptors,Class A (Rhodopsin)
LGR6,LGR6,Class A orphans,Orphan receptors,Class A (Rhodopsin)
LPAR1,LPAR1,Lysophospholipid (LPA) receptors,Lipid receptors,Class A (Rhodopsin)
LPAR2,LPAR2,Lysophospholipid (LPA) receptors,Lipid receptors,Class A (Rhodopsin)
LPAR3,LPAR3,Lysophospholipid (LPA) receptors,Lipid receptors,Class A (Rhodopsin)
LPAR4,LPAR4,Lysophospholipid (LPA) receptors,Lipid receptors,Class A (Rhodopsin)
LPAR5,LPAR5,Lysophospholipid (LPA) receptors,Lipid receptors,Class A (Rhodopsin)
LPAR6,LPAR6,Lysophospholipid (LPA) receptors,Lipid receptors,Class A (Rhodopsin)
LSHR,LHCGR,Glycoprotein hormone receptors,Protein receptors,Class A (Rhodopsin)
LT4R1,LTB4R,Leukotriene receptors,Lipid receptors,Class A (Rhodopsin)
LT4R2,LTB4R2,Leukotriene receptors,Lipid receptors,Class A (Rhodopsin)
MAS,MAS1,Class A orphans,Orphan receptors,Class A (Rhodopsin)
MAS1L,MAS1L,Class A orphans,Orphan receptors,Class A (Rhodopsin)
MC3R,MC3R,Melanocortin receptors,Peptide receptors,Class A (Rhodopsin)
MC4R,MC4R,Melanocortin receptors,Peptide receptors,Class A (Rhodopsin)
MC5R,MC5R,Melanocortin receptors,Peptide receptors,Class A (Rhodopsin)
MCHR1,MCHR1,Melanin-concentrating hormone,Peptide receptors,Class A (Rhodopsin)
MCHR2,MCHR2,Melanin-concentrating hormone,Peptide receptors,Class A (Rhodopsin)
MRGRD,MRGPRD,Class A orphans,Orphan receptors,Class A (Rhodopsin)
MRGRE,MRGPRE,Class A orphans,Orphan receptors,Class A (Rhodopsin)
MRGRF,MRGPRF,Class A orphans,Orphan receptors,Class A (Rhodopsin)
MRGRG,MRGPRG,Class A orphans,Orphan receptors,Class A (Rhodopsin)
MRGX1,MRGPRX1,Class A orphans,Orphan receptors,Class A (Rhodopsin)
MRGX2,MRGPRX2,Class A orphans,Orphan receptors,Class A (Rhodopsin)
MRGX3,MRGPRX3,Class A orphans,Orphan receptors,Class A (Rhodopsin)
MRGX4,MRGPRX4,Class A orphans,Orphan receptors,Class A (Rhodopsin)
MSHR,MC1R,Melanocortin receptors,Peptide receptors,Class A (Rhodopsin)
MTLR,MLNR,Motilin receptors,Peptide receptors,Class A (Rhodopsin)
MTR1A,MTNR1A,Melatonin,Melatonin receptors,Class A (Rhodopsin)
MTR1B,MTNR1B,Melatonin,Melatonin receptors,Class A (Rhodopsin)
MTR1L,GPR50,Class A orphans,Orphan receptors,Class A (Rhodopsin)
NK1R,TACR1,Tachykinin receptors,Peptide receptors,Class A (Rhodopsin)
NK2R,TACR2,Tachykinin receptors,Peptide receptors,Class A (Rhodopsin)
NK3R,TACR3,Tachykinin receptors,Peptide receptors,Class A (Rhodopsin)
NMBR,NMBR,Bombesin receptors,Peptide receptors,Class A (Rhodopsin)
NMUR1,NMUR1,Neuromedin U receptors,Peptide receptors,Class A (Rhodopsin)
NMUR2,NMUR2,Neuromedin U receptors,Peptide receptors,Class A (Rhodopsin)
NPBW1,NPBWR1,Neuropeptide W/neuropeptide B receptors,Peptide receptors,Class A (Rhodopsin)
NPBW2,NPBWR2,Neuropeptide W/neuropeptide B receptors,Peptide receptors,Class A (Rhodopsin)
NPFF1,NPFFR1,Neuropeptide FF/neuropeptide AF receptors,Peptide receptors,Class A (Rhodopsin)
NPFF2,NPFFR2,Neuropeptide FF/neuropeptide AF receptors,Peptide receptors,Class A (Rhodopsin)
NPSR1,NPSR1,Neuropeptide S receptors,Peptide receptors,Class A (Rhodopsin)
NPY1R,NPY1R,Neuropeptide Y receptors,Peptide receptors,Class A (Rhodopsin)
NPY2R,NPY2R,Neuropeptide Y receptors,Peptide receptors,Class A (Rhodopsin)
NPY4R,NPY4R,Neuropeptide Y receptors,Peptide receptors,Class A (Rhodopsin)
NPY5R,NPY5R,Neuropeptide Y receptors,Peptide receptors,Class A (Rhodopsin)
NPY6R,NPY6R,Neuropeptide Y receptors,Peptide receptors,Class A (Rhodopsin)
NTR1,NTSR1,Neurotensin receptors,Peptide receptors,Class A (Rhodopsin)
NTR2,NTSR2,Neurotensin receptors,Peptide receptors,Class A (Rhodopsin)
OGR1,GPR68,Class A orphans,Orphan receptors,Class A (Rhodopsin)
OPN3,OPN3,Opsins,Sensory receptors,Class A (Rhodopsin)
OPN4,OPN4,Opsins,Sensory receptors,Class A (Rhodopsin)
OPN5,OPN5,Opsins,Sensory receptors,Class A (Rhodopsin)
OPRD,OPRD1,Opioid receptors,Peptide receptors,Class A (Rhodopsin)
OPRK,OPRK1,Opioid receptors,Peptide receptors,Class A (Rhodopsin)
OPRM,OPRM1,Opioid receptors,Peptide receptors,Class A (Rhodopsin)
OPRX,OPRL1,Opioid receptors,Peptide receptors,Class A (Rhodopsin)
OPSB,OPN1SW,Opsins,Sensory receptors,Class A (Rhodopsin)
OPSD,RHO,Opsins,Sensory receptors,Class A (Rhodopsin)
OPSG,OPN1MW,Opsins,Sensory receptors,Class A (Rhodopsin)
OPSR,OPN1LW,Opsins,Sensory receptors,Class A (Rhodopsin)
OPSX,RRH,Opsins,Sensory receptors,Class A (Rhodopsin)
OX1R,HCRTR1,Orexin receptors,Peptide receptors,Class A (Rhodopsin)
OX2R,HCRTR2,Orexin receptors,Peptide receptors,Class A (Rhodopsin)
OXER1,OXER1,Leukotriene receptors,Lipid receptors,Class A (Rhodopsin)
OXGR1,OXGR1,Oxoglutarate receptors,Alicarboxylic acid receptors,Class A (Rhodopsin)
OXYR,OXTR,Vasopressin and oxytocin receptors,Peptide receptors,Class A (Rhodopsin)
P2RY1,P2RY1,P2Y receptors,Nucleotide receptors,Class A (Rhodopsin)
P2RY2,P2RY2,P2Y receptors,Nucleotide receptors,Class A (Rhodopsin)
P2RY4,P2RY4,P2Y receptors,Nucleotide receptors,Class A (Rhodopsin)
P2RY6,P2RY6,P2Y receptors,Nucleotide receptors,Class A (Rhodopsin)
P2RY8,P2RY8,Class A orphans,Orphan receptors,Class A (Rhodopsin)
P2Y10,P2RY10,Class A orphans,Orphan receptors,Class A (Rhodopsin)
P2Y11,P2RY11,P2Y receptors,Nucleotide receptors,Class A (Rhodopsin)
P2Y12,P2RY12,P2Y receptors,Nucleotide receptors,Class A (Rhodopsin)
P2Y13,P2RY13,P2Y receptors,Nucleotide receptors,Class A (Rhodopsin)
P2Y14,P2RY14,P2Y receptors,Nucleotide receptors,Class A (Rhodopsin)
PAR1,F2R,Proteinase-activated receptors,Peptide receptors,Class A (Rhodopsin)
PAR2,F2RL1,Proteinase-activated receptors,Peptide receptors,Class A (Rhodopsin)
PAR3,F2RL2,Proteinase-activated receptors,Peptide receptors,Class A (Rhodopsin)
PAR4,F2RL3,Proteinase-activated receptors,Peptide receptors,Class A (Rhodopsin)
PD2R,PTGDR,Prostanoid receptors,Lipid receptors,Class A (Rhodopsin)
PD2R2,PTGDR2,Prostanoid receptors,Lipid receptors,Class A (Rhodopsin)
PE2R1,PTGER1,Prostanoid receptors,Lipid receptors,Class A (Rhodopsin)
PE2R2,PTGER2,Prostanoid receptors,Lipid receptors,Class A (Rhodopsin)
PE2R3,PTGER3,Prostanoid receptors,Lipid receptors,Class A (Rhodopsin)
PE2R4,PTGER4,Prostanoid receptors,Lipid receptors,Class A (Rhodopsin)
PF2R,PTGFR,Prostanoid receptors,Lipid receptors,Class A (Rhodopsin)
PI2R,PTGIR,Prostanoid receptors,Lipid receptors,Class A (Rhodopsin)
PKR1,PROKR1,Prokineticin receptors,Protein receptors,Class A (Rhodopsin)
PKR2,PROKR2,Prokineticin receptors,Protein receptors,Class A (Rhodopsin)
PRLHR,PRLHR,Prolactin-releasing peptide receptors,Peptide receptors,Class A (Rhodopsin)
PSYR,GPR65,Class A orphans,Orphan receptors,Class A (Rhodopsin)
PTAFR,PTAFR,Platelet-activating factor receptors,Lipid receptors,Class A (Rhodopsin)
QRFPR,QRFPR,Peptide P518 receptors,Peptide receptors,Class A (Rhodopsin)
RL3R1,RXFP3,Relaxin family peptide receptors,Peptide receptors,Class A (Rhodopsin)
RL3R2,RXFP4,Relaxin family peptide receptors,Peptide receptors,Class A (Rhodopsin)
RXFP1,RXFP1,Relaxin family peptide receptors,Peptide receptors,Class A (Rhodopsin)
RXFP2,RXFP2,Relaxin family peptide receptors,Peptide receptors,Class A (Rhodopsin)
S1PR1,S1PR1,Lysophospholipid (S1P) receptors,Lipid receptors,Class A (Rhodopsin)
S1PR2,S1PR2,Lysophospholipid (S1P) receptors,Lipid receptors,Class A (Rhodopsin)
S1PR3,S1PR3,Lysophospholipid (S1P) receptors,Lipid receptors,Class A (Rhodopsin)
S1PR4,S1PR4,Lysophospholipid (S1P) receptors,Lipid receptors,Class A (Rhodopsin)
S1PR5,S1PR5,Lysophospholipid (S1P) receptors,Lipid receptors,Class A (Rhodopsin)
SSR1,SSTR1,Somatostatin receptors,Peptide receptors,Class A (Rhodopsin)
SSR2,SSTR2,Somatostatin receptors,Peptide receptors,Class A (Rhodopsin)
SSR3,SSTR3,Somatostatin receptors,Peptide receptors,Class A (Rhodopsin)
SSR4,SSTR4,Somatostatin receptors,Peptide receptors,Class A (Rhodopsin)
SSR5,SSTR5,Somatostatin receptors,Peptide receptors,Class A (Rhodopsin)
SUCR1,SUCNR1,Succinate receptors,Alicarboxylic acid receptors,Class A (Rhodopsin)
TA2R,TBXA2R,Prostanoid receptors,Lipid receptors,Class A (Rhodopsin)
TRFR,TRHR,Thyrotropin-releasing hormone receptors,Peptide receptors,Class A (Rhodopsin)
TSHR,TSHR,Glycoprotein hormone receptors,Protein receptors,Class A (Rhodopsin)
TAAR1,TAAR1,Trace amine receptors,Aminergic receptors,Class A (Rhodopsin)
TAAR2,TAAR2,Class A orphans,Orphan receptors,Class A (Rhodopsin)
TAAR3,TAAR3P,Class A orphans,Orphan receptors,Class A (Rhodopsin)
TAAR5,TAAR5,Class A orphans,Orphan receptors,Class A (Rhodopsin)
TAAR6,TAAR6,Class A orphans,Orphan receptors,Class A (Rhodopsin)
TAAR8,TAAR8,Class A orphans,Orphan receptors,Class A (Rhodopsin)
TAAR9,TAAR9,Class A orphans,Orphan receptors,Class A (Rhodopsin)
UR2R,UTS2R,Urotensin receptors,Peptide receptors,Class A (Rhodopsin)
V1AR,AVPR1A,Vasopressin and oxytocin receptors,Peptide receptors,Class A (Rhodopsin)
V1BR,AVPR1B,Vasopressin and oxytocin receptors,Peptide receptors,Class A (Rhodopsin)
V2R,AVPR2,Vasopressin and oxytocin receptors,Peptide receptors,Class A (Rhodopsin)
XCR1,XCR1,Chemokine receptors,Protein receptors,Class A (Rhodopsin)
AA1R,ADORA1,Adenosine receptors,Nucleotide receptors,Class A (Rhodopsin)
AA2AR,ADORA2A,Adenosine receptors,Nucleotide receptors,Class A (Rhodopsin)
AA2BR,ADORA2B,Adenosine receptors,Nucleotide receptors,Class A (Rhodopsin)
AA3R,ADORA3,Adenosine receptors,Nucleotide receptors,Class A (Rhodopsin)
